# source: NASA Exoplanet Archive, pscomppars composite-parameters table, TAP service (keyless). https://exoplanetarchive.ipac.caltech.edu/
# query: select top 1000 pl_name,hostname,ra,dec,st_teff,pl_orbper from pscomppars where st_teff is not null and pl_orbper is not null and ra is not null and dec is not null order by pl_name
# rows: 1000
pl_name,hostname,ra,dec,st_teff,pl_orbper
K2-224 b,K2-224,189.7041426,-10.0605942,5620.00,4.47904000000
K2-226 b,K2-226,183.6456643,-9.5626286,5288.00,3.27109000000
K2-228 b,K2-228,187.2947047,-6.8342028,4715.00,2.69828000000
K2-229 b,K2-229,186.8729195,-6.7218474,5315.00,0.58421600000
K2-244 b,K2-244,183.4686492,-3.8318097,5677.00,21.06884000000
K2-247 c,K2-247,188.8935189,-10.0692793,4667.00,6.49424000000
K2-248 b,K2-248,182.8173343,-9.4141696,5528.00,7.17256000000
K2-25 b,K2-25,63.2739346,15.2477027,3207.00,3.48456408000
K2-254 c,K2-254,185.5507926,-4.7172908,4629.00,12.11839000000
K2-255 b,K2-255,189.9128532,-3.3705631,4676.00,1.96417000000
K2-264 c,K2-264,131.3583524,19.6984010,3660.00,19.66030200000
K2-268 b,K2-268,133.7094899,11.8482712,5106.00,2.15167600000
K2-269 b,K2-269,130.1551381,13.0146799,6209.00,4.14496500000
K2-270 c,K2-270,131.2665588,13.5497322,4877.00,4.40002800000
K2-271 b,K2-271,125.2239144,16.0907958,5644.00,8.56242100000
K2-278 b,K2-278,203.3018653,-14.5041057,6747.00,3.33496600000
K2-291 b,K2-291,76.4459400,21.5481990,5520.00,2.22517700000
K2-308 b,K2-308,78.3391194,16.4141986,6100.00,3.38628000000
K2-312 c,HD 80653,140.3390845,14.3678691,5959.00,921.20000000000
K2-322 b,K2-322,156.6226981,4.7640203,4141.00,8.20500000000
K2-325 b,K2-325,353.9169507,-7.6867213,3287.00,6.93000000000
K2-33 b,K2-33,242.5613635,-19.3193831,3540.00,5.42486500000
K2-340 b,K2-340,127.9373409,19.0745863,5532.00,29.74045100000
K2-343 c,K2-343,134.2021746,21.5026882,3804.00,7.67697200000
K2-351 b,K2-351,206.6522408,-11.8049588,5769.00,7.80616400000
K2-352 c,K2-352,140.4451478,18.4696280,5791.00,8.23488500000
K2-365 b,K2-365,238.8197061,-21.0269691,5561.00,23.44817200000
K2-367 b,K2-367,337.8588454,-13.2644554,4348.00,20.64509900000
K2-369 b,K2-369,329.7262534,-10.8750666,5682.00,5.76161200000
K2-378 b,K2-378,205.1596569,-11.1172332,4823.00,2.06043800000
K2-390 b,K2-390,355.7023860,-9.5887124,5558.00,3.31279200000
K2-396 c,K2-396,74.6928607,17.2690562,5236.00,25.76051000000
K2-401 b,K2-401,154.9876040,3.9548275,4213.00,6.29309900000
K2-405 b,K2-405,164.3759959,12.5356140,4927.00,3.43547100000
K2-413 c,K2-413,353.4175668,-7.6120272,4116.00,5.33010000000
K2-415 b,K2-415,137.2015437,11.8622503,3173.00,4.01796940000
K2-45 b,K2-45,169.6327547,-1.7740582,4103.00,1.72926840000
K2-49 b,K2-49,177.3202331,3.4755183,4175.00,2.77065000000
K2-58 d,K2-58,333.8218395,-14.0498570,5413.00,22.88270000000
K2-59 c,K2-59,338.9425500,-14.0277270,5055.00,11.29540000000
K2-62 b,K2-62,334.3645089,-12.1874776,4455.00,6.67199000000
K2-69 b,K2-69,335.7596816,-10.4886817,4127.00,7.06599000000
K2-75 b,K2-75,338.8448960,-7.4698950,5995.00,7.81420000000
K2-80 b,K2-80,59.0374860,13.5590288,5441.00,19.09180000000
K2-9 b,K2-9,176.2637240,0.0054085,3390.00,18.44980000000
KELT-11 b,KELT-11,161.7069053,-9.3993646,5375.00,4.73620865000
KELT-12 b,KELT-12,267.6404906,36.5701761,6279.00,5.03162300000
KELT-3 b,KELT-3,148.6431193,40.3879446,6304.00,2.70339000000
KELT-6 c,KELT-6,195.9818362,30.6401450,6272.00,1276.00000000000
KELT-7 b,KELT-7,78.2955912,33.3179532,6768.00,2.73477000000
KIC 5479689 b,KIC 5479689,299.3254983,40.6381229,5459.10,1.70153100000
KIC 8540376 c,KOI-7892,282.3775397,44.6945690,6474.00,75.20000000000
KOI-142 c,KOI-142,291.1481028,40.6694130,5466.00,22.26492000000
KOI-1599.01,KOI-1599,298.3738383,40.6184483,5833.00,20.44150000000
KOI-1599.02,KOI-1599,298.3738383,40.6184483,5833.00,13.60880000000
KOI-351 h,KOI-351,284.4334642,49.3051239,6031.13,331.60296000000
Kepler-100 c,Kepler-100,291.3861294,41.9901394,5825.00,12.81590000000
Kepler-1002 b,Kepler-1002,293.0794629,43.0736770,6144.00,4.33642933100
